tempo,x,y
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,3.571246369629027750e+00,3.521251471149280832e+00
2.020202020202020166e-01,7.142492739258055501e+00,6.942513145339067826e+00
3.030303030303030387e-01,1.071373910888708458e+01,1.026378502256936187e+01
4.040404040404040331e-01,1.428498547851611100e+01,1.348506710284016030e+01
5.050505050505050830e-01,1.785623184814514275e+01,1.660635938615146756e+01
6.060606060606060774e-01,2.142747821777416917e+01,1.962766187250327832e+01
7.070707070707070718e-01,2.499872458740319559e+01,2.254897456189559435e+01
8.080808080808080662e-01,2.856997095703222200e+01,2.537029745432841565e+01
9.090909090909090606e-01,3.214121732666124842e+01,2.809163054980174223e+01
1.010101010101010166e+00,3.571246369629028550e+01,3.071297384831558830e+01
1.111111111111111160e+00,3.928371006591930836e+01,3.323432734986992187e+01
1.212121212121212155e+00,4.285495643554833833e+01,3.565569105446477494e+01
1.313131313131313149e+00,4.642620280517736830e+01,3.797706496210012972e+01
1.414141414141414144e+00,4.999744917480639117e+01,4.019844907277598622e+01
1.515151515151515138e+00,5.356869554443542114e+01,4.231984338649235156e+01
1.616161616161616132e+00,5.713994191406444401e+01,4.434124790324921861e+01
1.717171717171717127e+00,6.071118828369347398e+01,4.626266262304660160e+01
1.818181818181818121e+00,6.428243465332249684e+01,4.808408754588447920e+01
1.919191919191919116e+00,6.785368102295153392e+01,4.980552267176287984e+01
2.020202020202020332e+00,7.142492739258057100e+01,5.142696800068178220e+01
2.121212121212121104e+00,7.499617376220957965e+01,5.294842353264117207e+01
2.222222222222222321e+00,7.856742013183861673e+01,5.436988926764108498e+01
2.323232323232323093e+00,8.213866650146763959e+01,5.569136520568149251e+01
2.424242424242424310e+00,8.570991287109667667e+01,5.691285134676242308e+01
2.525252525252525082e+00,8.928115924072569953e+01,5.803434769088384826e+01
2.626262626262626299e+00,9.285240561035473661e+01,5.905585423804578227e+01
2.727272727272727071e+00,9.642365197998374526e+01,5.997737098824821089e+01
2.828282828282828287e+00,9.999489834961278234e+01,6.079889794149116256e+01
2.929292929292929060e+00,1.035661447192418052e+02,6.152043509777460883e+01
3.030303030303030276e+00,1.071373910888708423e+02,6.214198245709857815e+01
3.131313131313131048e+00,1.107086374584998651e+02,6.266354001946303498e+01
3.232323232323232265e+00,1.142798838281288880e+02,6.308510778486799353e+01
3.333333333333333481e+00,1.178511301977579251e+02,6.340668575331346801e+01
3.434343434343434254e+00,1.214223765673869480e+02,6.362827392479945843e+01
